,maximum,minimum
CYARTMT,0.0,0.0
CYOO2pp,0.0,-39.6593886463
CYRDAAT,0.0,0.0
CYS,1000.0,5.426390437e-14
CYSDS,0.0,-1000.0
CYSS,0.0,0.0
CYSS_trdrd,0.0,0.0
CYTBD2pp,0.0,-39.6593886463
CYTBO3,0.0,-39.6593886463
CYTD,78.3998495784,0.0
CYTDt2,10.0,-42.2665663856
CYTK1,63.6303954216,-394.169880355
CYTK2,0.0,-78.3998495784
DAAD,1000.0,-1000.0
DADA,72.0378553837,0.0
DADNt2,10.0,-47.6302843069
DAGK160,0.0,0.0
DALAt2pp,10.0,-130.618823005
DAPDA,0.0,0.0
DAPDC,0.250105977109,0.250105977109
DAPE,0.0,0.0
DASYN120,0.0,-379.444977283
DASYN140,0.0,-379.444977283
DASYN141,0.0,0.0
DASYN160,0.0,-379.444977283
DASYN161,0.0,0.0
DASYN180,0.0,-379.444977283
DASYN181,0.0,-379.444977283
DB4PS,0.123858674077,0.123858674077
DBTS,0.0,0.0
DCTPD,78.3998495784,0.0
DCTPD2,0.0,-1000.0
DCYTD,88.3998495784,0.0
DCYTt2,10.0,-48.9332330523
DDGALK,0.0,0.0
DDGLCNt2r,10.0,-165.079306244
DDGLK,165.079306244,-10.0
DDPA,-2.84485495194,-2.84485495194
DDPGA,0.0,0.0
DDPGALA,0.0,0.0
DGC3D,0.0,0.0
DGK1,0.0,-49.6302843069
DGSNt2,0.0,-49.6302843069
DHAD1,47.8493817204,7.33814970336
DHCIND,0.0,0.0
DHFR,98.4927435839,0.0928940055578
DHFS,-0.0928940055578,-0.0928940055578
DHNPA2r,-0.0928940055578,-0.0928940055578
DHORD2,0.0,-70.3094115023
DHORD5,0.0,-70.3094115023
DHORTS,70.3094115023,0.0
DHPD,0.0,0.0
DHPM2,0.0,0.0
DHPPD,0.0,0.0
DHPPDA2,-0.0619293370385,-0.0619293370386
DHPS2,0.0928940055578,0.0
DHQS,2.84485495194,2.84485495194
DHQTi,-2.84485495194,-2.84485495194
DHRT_ivcoa,0.0,-0.851843370735
DINSt2,0.0,-72.0378553837
DLDLBT,-0.123858674077,-0.123858674077
DMATT,-0.281070645628,-0.609912434691
DMORh,1000.0,-992.661850297
DMPH,49.6302843069,0.0
DMPPS,0.609912434692,0.0
DMPPS_syn,0.0,-0.609912434691
DMTPHT,0.0,0.0
DNGALh,0.0,0.0
DPCOAK,-0.0619293370387,-0.0619293370389
DPR,0.0619293370387,0.0619293370389
DSERt2,0.0,0.0
DTMPK,-0.160206718346,-0.160206718346
DURIK1,78.3998495784,-1000.0
DURIt2,10.0,-88.3998495784
DUTPDP,0.0,-987.461901791
DXPRIi,-3.06081243339,-6.67807211311
DXPS,-3.06081243339,-6.67807211311
E4PD,0.0,0.0
EAR100y,0.0,0.0
EAR120y,0.0,0.0
EAR140y,0.0,0.0
EAR40y,0.0,0.0
EAR60y,0.0,0.0
EAR80y,0.0,0.0
ECOAH1,0.0,0.0
ECOAH12,39.6593886463,0.0
ECOAH3,0.0,0.0
ECOAH4,0.0,0.0
ECOAH5,0.0,0.0
ECOAH6,0.0,0.0
ECOAH7,0.0,-8.49936413735
ECOAH9ir,39.6593886463,-0.851843370735
EDA,0.0,-1000.0
EDD,0.0,-1000.0
EDTXS1,-0.250105977109,-0.250105977109
EDTXS2,0.250105977109,0.250105977109
ENO,1000.0,0.0
ETHAAL,389.338496862,0.0
ETHAt2pp,10.0,-130.618823005
ETOHti,372.613174943,-10.0
EX_2ddglcn_e,165.079306244,-10.0
EX_4hbz_e,-0.0309646685191,-0.0309646685192
EX_ASPt5n_e,130.618823005,-10.0
EX_Biomass_e,10.0,9.91778955273
EX_DNA_e,-10.0,-10.0
EX_ac_e,0.0,0.0
EX_acald_e,465.675536279,8.881784197e-16
EX_acgam_e,130.542648671,-10.0
EX_adn_e,39.6302843069,-10.0
EX_akg_e,215.700422176,-10.0
EX_ala__D_e,130.618823005,-10.0
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_arg__L_e,-2.46696822701,-10.0
EX_ca2_e,-0.0309646685193,-0.0309646685193
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_cit_e,165.544772803,-10.0
EX_cl_e,-0.0309646685193,-0.0309646685193
EX_co2_e,516.288543155,-10.0
EX_cobalt2_e,-0.0309646685193,-0.0309646685193
EX_cu2_e,-0.0309646685193,-0.0309646685193
EX_cytd_e,42.2665663856,-10.0
EX_dad_2_e,47.6302843069,-10.0
EX_dcyt_e,48.9332330523,-10.0
EX_dgsn_e,49.6302843069,0.0
EX_din_e,72.0378553837,0.0
EX_duri_e,88.3998495784,-10.0
EX_etha_e,130.618823005,-10.0
EX_etoh_e,372.613174943,-10.0
EX_fe2_e,0.0,-0.123858674077
EX_fe3_e,0.0,-0.123858674077
EX_for_e,403.045190711,0.0
EX_fru_e,175.685586849,-10.0
EX_fum_e,253.317159205,-10.0
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,130.618823005,-10.0
EX_glc__D_e,175.685586849,-10.0
EX_glcur_e,0.0,0.0
EX_gln__L_e,60.3094115023,-10.0
EX_glu__L_e,130.618823005,-10.0
EX_gly_e,130.618823005,-10.0
EX_glyb_e,0.0,0.0
EX_glyc_e,289.785735205,-10.0
EX_glycogen_e,0.0,0.0
EX_h2o_e,498.923853246,0.0
EX_h_e,1000.0,-10.0
EX_hdca_e,8.49936413735,0.0
EX_hxan_e,52.0378553837,-10.0
EX_ins_e,52.0378553837,-10.0
EX_k_e,-0.0309646685193,-0.0309646685193
EX_lys__L_e,-3.10448618201,-3.10448618201
EX_mal__L_e,253.144271577,-10.0
EX_malt_e,-1.7763568394e-15,-10.0
EX_man_e,175.685586849,-10.0
EX_met__D_e,0.0,0.0
EX_met__L_e,0.0,-2.16333782204
EX_metox__R_e,0.0,0.0
EX_metsox_S__L_e,0.0,-2.16333782204
EX_mg2_e,-0.0309646685193,-0.0309646685193
EX_mn2_e,-0.0309646685193,-0.0309646685193
EX_mqn7_e,-0.0619293370385,-0.0619293370385
EX_na1_e,0.0,0.0
EX_nh4_e,130.618823005,-10.0
EX_nmn_e,-0.0619293370371,-0.0619293370402
EX_no2_e,10.0,-10.0
EX_no3_e,10.0,-10.0
EX_o2_e,-0.170305676856,-20.0
EX_ocdca_e,-0.851843370735,-0.851843370735
EX_orn_e,10.0,2.46696822701
EX_pi_e,-8.02694926562,-10.0
EX_ppi_e,0.986525367191,0.0
EX_pro__L_e,130.618823005,-10.0
EX_protein_e,-10.0,-10.0
EX_ptrc_e,0.0,-0.0309646685193
EX_pyr_e,325.147283024,0.0
EX_q8_e,0.0,-10.0
EX_q8h2_e,10.0,4.33431068814e-13
EX_rna_c0,-10.0,-10.0
EX_salcn_e,0.0,0.0
EX_sbt__D_e,161.306134403,-10.0
EX_ser__D_e,0.0,0.0
EX_ser__L_e,130.618823005,-10.0
EX_so4_e,-0.0309646685193,-2.19430249056
EX_spmd_e,-0.0309646685193,-0.0309646685193
EX_succ_e,304.025461895,-10.0
EX_sucr_e,83.0090326809,-10.0
EX_taur_e,-1.01252339846e-13,-2.16333782204
EX_thmmp_e,-0.0309646685192,-0.0309646685193
EX_thymd_e,98.23964286,-0.160206718346
EX_tre_e,83.0090326809,-10.0
EX_trp__L_e,-0.47201919145,-0.47201919145
EX_tsul_e,0.0,-1.08166891102
EX_ttdca_e,-1.50063586265,-10.0
EX_uri_e,78.3998495784,0.0
EX_xyl__D_e,212.822704218,-10.0
EX_zn2_e,-0.0309646685193,-0.0309646685193
FA100ACPHi,0.0,0.0
FA80ACPHi,0.0,0.0
FACOAE160,0.0,-987.461901791
FACOAE180,0.0,-987.461901791
FACOAE1836Z9Z12Z,0.0,0.0
FACOAL140,-1.50063586265,-988.962537654
FACOAL160,987.461901791,0.0
FACOAL180,0.0,-987.461901791
FAS140ACPm,1.25052988554,1.25052988554
FBA,1000.0,-1000.0
FBA3,1000.0,-1000.0
FBP,1000.0,0.0
FCLT,0.0309646685193,0.0309646685193
FDH,0.0,-379.338496862
FE2abc,0.123858674077,0.0
FE3abc,0.123858674077,0.0
FERO,19.8296943231,0.0
FGFTh,0.0,-1000.0
FGLU,0.0,0.0
FK,0.0,0.0
FLVRx,0.0,0.0
FMNRx,0.0,0.0
FOLR2,0.0,0.0
FOMETRi,0.0,-1000.0
FORti,403.045190711,0.0
FPGFTh,1000.0,0.0
FPGS_tm,0.0,0.0
FPPSh,0.609912434693,0.281070645628
FRD,1000.0,0.0
FRD2,1000.0,0.0
FRD3,-0.0619293370385,-1000.0
FRD7,1000.0,0.0
FRTT,-0.0309646685192,-0.0309646685192
FRUK,175.685586849,-10.0
FRUpts,10.0,-175.685586849
FT,0.0,0.0
FTCL,1000.0,0.0
FTHFD,0.0,-1000.0
FUM,1000.0,0.0
FUMt2r,10.0,-253.317159205
G-12289,0.657683578128,0.0
G-12290,0.657683578128,0.0
G-12296,0.328841789064,0.0
G1PACT,0.0,-1000.0
G1PTT,-0.250105977109,-0.250105977109
G1SAT,0.495434696308,0.495434696308
G3PAT120,0.0,0.0
G3PAT140,0.0,-987.461901791
G3PAT141,0.0,0.0
G3PAT160,0.0,0.0
G3PAT160_1,0.0,-379.444977283
G3PAT161,0.0,0.0
G3PAT180,0.0,0.0
G3PAT181,0.0,0.0
G3PD,1000.0,-1000.0
G3PD1,1000.0,-1000.0
G3PD5,0.0,-1000.0
G3PD6,0.0,-1000.0
G3PD7,999.938070663,0.0
G3PL,0.0,0.0
G5DHx,1000.0,0.0
G5SADrm,0.0,-1000.0
G6PBDH,0.0,-1000.0
G6PDA,1000.0,0.0
G6PDH2r,1000.0,-1000.0
G6PI,1000.0,-1000.0
G6PI3,1000.0,-1000.0
GALCTD,0.0,0.0
GALCTND,0.0,0.0
GALM1,1000.0,0.0
GALT1,-0.250105977109,-0.250105977109
GALTpts,0.0,0.0
GALUi,8.99957609156,-574.009456589
GALh,0.0,-1000.0
GAM,1000.0,0.0
GAMpts,130.618823005,-10.0
GAPD,1000.0,-1000.0
GAPDH_nadp_hi,1000.0,0.0
GART,0.0,-1000.0
GCC2cm,9.75613480673,-400.020684767
GCCa,0.0,-1000.0
GCCb,0.0,-1000.0
GCCc,0.0,-1000.0
GCL,0.0,-1000.0
GDH,1000.0,-1000.0
GF6PTA,18.9995760916,-1000.0
GGGABADr,0.0,0.0
GGTT,-0.0309646685193,-0.0309646685193
GHMT,1000.0,0.0
GK1,1000.0,-998.13973034
GK2,999.839793282,-998.299937059
GLCTR2,-0.250105977109,-0.250105977109
GLCTR3,-0.250105977109,-0.250105977109
GLCabcpp,0.0,-1000.0
GLCpts,1000.0,-10.0
GLNSP1,0.0,0.0
GLNSP2,0.0,0.0
GLNSP3,0.0,0.0
GLNabc,10.0,-60.3094115023
GLU5K,0.0,-1000.0
GLUFORT,0.0,0.0
GLUFT,0.0,-1000.0
GLUK_syn,0.0,-1000.0
GLUPRT,-2.04281036531e-14,-35.1547057512
GLUR,-0.250105977109,-0.250105977109
GLUS_nadph,1000.0,0.0
GLUTCOADHc,0.0,0.0
GLUTRR,-0.495434696308,-0.495434696308
GLUTRS,-0.495434696308,-0.495434696308
GLUt2r,10.0,-130.618823005
GLXO1,0.0,0.0
GLYALDDr,0.0,-1000.0
GLYAMDTRc,0.0,0.0
GLYAT,996.325646496,-1000.0
GLYBabc,0.0,0.0
GLYCDH_1,1000.0,0.0
GLYCK,0.0,-1000.0
GLYCK2,1000.0,0.0
GLYCL,1000.0,-1000.0
GLYCLTDx,0.0,0.0
GLYCLTDy,0.0,0.0
GLYCOR_nadp,0.0,-1000.0
GLYCt,10.0,-289.785735205
GLYK,1000.0,-10.0
GLYt2m,10.0,-130.618823005
GMHEPAT,-1.00042390844,-1.00042390844
GMP5N,987.461901791,0.0
GMPS2,0.0,-494.961818032
GND,0.0,-569.007745292
GNK,0.0,-10.0
GNNUC,9.09494701773e-13,-1000.0
GPAR,0.0,-989.131000064
GPDDA1,0.0,0.0
GPDDA2,0.0,-379.338496862
GPDDA4,0.319441264026,0.319441264026
GTPCI,0.0,-0.0928940055577
GTPCII2,-0.0619293370385,-0.0619293370385
GTPDPK,0.0,0.0
GUAD,0.0,-1000.0
GUDBUTNAH,1000.0,-7.53303177299
H2Ot,0.0,-498.923853246
HACD1,1000.0,-1000.0
HACD2,0.0,0.0
HACD3,0.0,0.0
HACD4,0.0,0.0
HACD5,0.0,0.0
HACD6,0.0,0.0
HACD7,8.49936413735,0.0
HACD9,0.851843370735,-39.6593886463
HACDp,0.0,0.0
HADPCOADH3,0.0,0.0
HCO3E,1000.0,-1000.0
HDC,0.0,0.0
HDCAt2,0.0,-8.49936413735
HDH,999.207363999,-285.296508647
HEPK1,-0.250105977109,-0.250105977109
HEPK2,-0.250105977109,-0.250105977109
HEPT1,-0.250105977109,-0.250105977109
HEPT2,-0.250105977109,-0.250105977109
HEPT3,-0.250105977109,-0.250105977109
HEPT4,-0.250105977109,-0.250105977109
HEX1,0.0,-1000.0
HEXTT,0.0309646685193,0.0309646685193
HGNTOR,0.0,0.0
HIBDkt,-2.22044604925e-16,-39.6593886463
HISDr,284.503872646,1.00808250636e-13
HISTP,-0.792636000739,-285.296508647
HIUH,0.0,0.0
HKYNH,0.0,0.0
HKt,0.0,-0.0619293370385
HMBS,0.0619293370385,0.0619293370385
HMGL,0.851843370735,0.0
HPPK2,0.0,-0.0928940055577
HPYRDC,0.0928940055576,0.0928940055577
HSDH,1000.0,0.0
HSDx,1000.0,0.0
HSERTA,0.0,-44.2381960148
HSK,0.0,-1000.0
HSPMS,0.0,0.0
HXAND,0.0,-989.131000064
HXANt2pp,10.0,-52.0378553837
HXPRT,0.0,-987.461901791
HYD1,0.0,0.0
Ht,1000.0,-1000.0
IBPHn,0.0,0.0
ICDHx,0.0,-379.338496862
ICH,-0.792636000737,-285.296508647
ICL,0.0,-1000.0
IDPh,1000.0,12.538098209
IDS1,6.0681596784,0.0
IG3PS,285.296508647,0.792636000737
IGPDH,285.296508647,0.792636000737
IGPS,0.0,0.0
IMACTD,0.0,0.0
IMDHT,-3.7538884754,-4.60573184614
IMDHT_3c2hmp,4.60573184614,3.7538884754
IMPD,987.461901791,-51.2993825799
INSH,0.0,-1000.0
INSt2,10.0,-52.0378553837
IPDPS,6.0681596784,0.0
IPMD,-3.7538884754,-4.60573184614
IPPS,-3.7538884754,-4.60573184614
ITCY,68.3998495784,-1000.0
IZPN,284.503872646,0.0
KARI,42.9292171204,2.41798510337
KARI_23dhmb,992.661850297,-1000.0
KARI_23dhmp,42.9292171204,2.41798510337
KARI_3hmoa,1000.0,-992.661850297
KDOCT,-0.750317931327,-0.750317931327
KDOPP,0.750317931327,0.750317931327
KDOPS,0.750317931327,0.750317931327
KYN3OX,0.0,0.0
Kt1,0.0619293370385,0.0
LCADi,0.0,0.0
LDH_L,1000.0,0.0
LPLIPAL1A120pp,379.444977283,0.0
LPLIPAL1A140pp,1000.0,-1000.0
LPLIPAL1A141pp,0.0,0.0
LPLIPAL1A160pp,379.444977283,0.0
LPLIPAL1A180pp,379.444977283,0.0
LPLIPAL2A120,379.444977283,0.0
LPLIPAL2A140,1000.0,-1000.0
LPLIPAL2A141,0.0,0.0
LPLIPAL2A160,379.444977283,0.0
LPLIPAL2A180,379.444977283,0.0
LPLIPAL2E160,1000.0,-1000.0
LPLIPAL2E180,1000.0,-379.338496862
LTDCL,0.0,0.0
LYSRC,0.0,0.0
LYSt2m,-3.10448618201,-3.10448618201
L_LACD2,1000.0,0.0
L_LACD3,1000.0,0.0
L_LACDcm,39.6593886463,0.0
MALS,0.0,-580.811642213
MALT,1000.0,0.0
MALTabc,10.0,0.0
MALTpts,0.0,0.0
MALt2_2,10.0,-253.144271577
MAN1PT2,1.31536715626,-2.69465718939e-15
MAN6PI,10.0,-175.685586849
MANAO,0.0,0.0
MANpts,10.0,-175.685586849
MATm,-0.154823342596,-987.616725134
MCCC,0.851843370735,0.0
MCITD,0.0,-39.6593886463
MCITL2,39.6593886463,0.0
MCITS,0.0,-39.6593886463
MCLOR,0.0,0.0
MCOATA,-9.97201447171,-9.97201447171
MCPST,0.0,0.0
MCS,-3.06081243339,-6.6780721131
MCSNAH,0.0,0.0
MDH,0.0,-1000.0
MDHC_nadp_hr,0.0,-1000.0
MECDPDH2,6.67807211309,3.06081243339
METDabc,0.0,0.0
METSOX1abcpp,0.0,-2.16333782204
METSOXR1,0.0,-2.16333782204
METabc,0.0,-2.16333782204
MG2abc,0.0,-0.0309646685193
MG2t,0.0309646685193,0.0
MGC,0.851843370735,0.0
MI1PP,0.0,0.0
MI3PP,0.0,0.0
MI4PP,0.0,0.0
MICITDr,0.0,-39.6593886463
MIHKPP,0.0,0.0
MMSAD3,1000.0,-1000.0
MMSDH,0.0,-39.6593886463
MN2t3pp,0.0309646685193,0.0309646685193
MNXR10704,0.0,0.0
MNXR10705,0.0,0.0
MNXR113142,0.657683578128,0.0
MNXR113143,0.657683578128,0.0
MNXR113144,0.657683578128,0.0
MNXR117163,0.657683578128,0.0
MNXR117165,0.328841789064,0.0
MNXR12173,0.0,0.0
MNXR14387,0.0,0.0
MNXR14507,0.0,0.0
MNXR14578,1000.0,-1000.0
MNXR14719,0.0,0.0
MNXR14762,0.0,0.0
MNXR14768,0.854358927614,-1.30897889443
MNXR15065,42.9292171204,0.0
MNXR15262,1000.0,-1000.0
MNXR15436,0.0,0.0
MNXR15510,0.0,0.0
MNXR15609,0.0,0.0
MNXR15641,0.0,0.0
MNXR15642,1000.0,-1000.0
MNXR15797,0.0,0.0
MNXR15867,-0.0309646685192,-0.0309646685193
MNXR1587,0.0,-0.0928940055577
MNXR15972,0.0,0.0
MNXR15973,0.0,0.0
MNXR160,1000.0,-1000.0
MNXR16018,0.0,0.0
MNXR16204,0.0,0.0
MNXR16236,0.0,0.0
MNXR16239,0.0,0.0
MNXR16307,1000.0,0.0
MNXR16994,0.0,0.0
MNXR16995,0.0,0.0
MNXR17004,0.0,0.0
MNXR17026,0.0,0.0
MNXR17153,0.0,0.0
MNXR17265,0.0,0.0
MNXR17268,0.0,0.0
MNXR17296,1000.0,-1000.0
MNXR17297,1000.0,-1000.0
MNXR17649,0.0,0.0
MNXR17653,0.0,0.0
MNXR17657,0.0,0.0
MNXR17827,0.0,0.0
MNXR17833,0.0,0.0
MNXR17835,0.0,0.0
MNXR17903,0.0,0.0
MNXR17904,0.0,0.0
MNXR17916,0.0,0.0
MNXR17974,0.0,0.0
MNXR17999,0.0,0.0
MNXR18003,0.0,0.0
MNXR18214,1000.0,-1000.0
MNXR1991,0.0,0.0
MNXR20056,0.0,0.0
MNXR2062,1000.0,-1000.0
MNXR22677,0.0,0.0
MNXR2293,0.0,0.0
MNXR27601,0.0,0.0
MNXR27602,0.0,0.0
MNXR27603,0.0,0.0
MNXR27604,0.0,0.0
MNXR27605,0.0,0.0
MNXR27606,0.0,0.0
MNXR27634,-0.851843370735,-0.851843370735
MNXR27635,0.851843370735,0.851843370735
MNXR27636,0.851843370735,0.851843370735
MNXR27638,-0.851843370735,-0.851843370735
MNXR27639,0.851843370735,0.851843370735
MNXR27640,0.851843370735,0.851843370735
MNXR27642,-0.851843370735,-0.851843370735
MNXR27643,0.851843370735,0.851843370735
MNXR27644,0.851843370735,0.851843370735
MNXR27646,0.851843370735,0.851843370735
MNXR27647,-0.851843370735,-0.851843370735
MNXR27648,0.851843370735,0.851843370735
MNXR27650,0.851843370735,0.851843370735
MNXR27651,-0.851843370735,-0.851843370735
MNXR27652,0.851843370735,0.851843370735
MNXR27654,0.851843370735,0.851843370735
MNXR27655,-0.851843370735,-0.851843370735
MNXR27656,0.851843370735,0.851843370735
MNXR27659,-0.851843370735,-0.851843370735
MNXR27660,0.851843370735,0.851843370735
MNXR27661,0.851843370735,0.851843370735
MNXR27663,-0.851843370735,-0.851843370735
MNXR27664,0.851843370735,0.851843370735
MNXR27665,0.851843370735,0.851843370735
MNXR27667,-0.851843370735,-0.851843370735
MNXR27668,0.851843370735,0.851843370735
MNXR27669,0.851843370735,0.851843370735
MNXR27671,0.851843370735,0.851843370735
MNXR27672,-0.851843370735,-0.851843370735
MNXR27673,0.851843370735,0.851843370735
MNXR27675,0.851843370735,0.851843370735
MNXR27676,-0.851843370735,-0.851843370735
MNXR27677,0.851843370735,0.851843370735
MNXR27679,0.851843370735,0.851843370735
MNXR27680,-0.851843370735,-0.851843370735
MNXR27681,0.851843370735,0.851843370735
MNXR27684,0.0,0.0
MNXR27686,0.0,0.0
MNXR27688,0.0,0.0
MNXR27690,0.0,0.0
MNXR27692,0.0,0.0
MNXR27694,0.0,0.0
MNXR27696,0.0,0.0
MNXR27698,0.0,0.0
MNXR27700,0.0,0.0
MNXR27702,0.0,0.0
MNXR27704,0.0,0.0
MNXR27706,0.0,0.0
MNXR2772,0.0,0.0
MNXR27735,0.0,0.0
MNXR27737,0.0,0.0
MNXR27805,0.0,0.0
MNXR27856,0.0309646685192,0.0309646685192
MNXR2786,-1.00042390844,-1.00042390844
MNXR2826,1.08166891102,0.0
MNXR2832,0.0,-1000.0
